date,tournament,round,type,winner_name,winner_rank,winner_elo,loser_name,loser_rank,loser_elo
2021-11-25,Indonesia Open 2021,Round 2,MS,Jonatan CHRISTIE,8,2240,Chico Aura DWI WARDOYO,60,1948
2021-11-25,Indonesia Open 2021,Round 2,MD,Fajar ALFIAN / Muhammad Shohibul FIKRI,8,2058,Muhammad Shohibul FIKRI / Bagas MAULANA,30,1862
2021-11-25,Indonesia Open 2021,Round 2,MD,Kim ASTRUP / Anders Skaarup RASMUSSEN,9,2030,Mahiro KANEKO / Yunosuke KUBOTA,60,1704
2021-11-25,Indonesia Open 2021,Round 2,XD,KO Sung Hyun / EOM Hye Won,21,1964,Mark LAMSFUSS / Isabel LOHAU,14,1944
2021-11-25,Indonesia Open 2021,Round 2,MS,Anders ANTONSEN,3,2365,WANG Tzu Wei,11,2100
2021-11-25,Indonesia Open 2021,Round 2,WS,Akane YAMAGUCHI,3,2503,YEO Jia Min,18,2039
2021-11-25,Indonesia Open 2021,Round 2,WS,SIM Yu Jin,54,1855,Beatriz CORRALES,55,1740
2021-11-25,Indonesia Open 2021,Round 2,XD,TANG Chun Man / TSE Ying Suet,7,2102,Kyohei YAMASHITA / Naru SHINOYA,67,1703
2021-11-25,Indonesia Open 2021,Round 2,MD,Marcus Fernaldi GIDEON / Kevin Sanjaya SUKAMULJO,1,2267,CHOI Sol Gyu / KIM Won Ho,,1728
2021-11-25,Indonesia Open 2021,Round 2,MS,Kenta NISHIMOTO,17,2111,CHOU Tien Chen,4,2283
2021-11-25,Indonesia Open 2021,Round 2,MS,Rasmus GEMKE,13,2141,Shesar Hiren RHUSTAVITO,20,2127
2021-11-25,Indonesia Open 2021,Round 2,WD,Nami MATSUYAMA / Chiharu SHIDA,9,2164,Puttita SUPAJIRAKUL / Sapsiree TAERATTANACHAI,17,1982
2021-11-25,Indonesia Open 2021,Round 2,WS,PUSARLA V. Sindhu,7,2350,Yvonne LI,26,1911
2021-11-25,Indonesia Open 2021,Round 2,WS,Pornpawee CHOCHUWONG,10,2227,Gregoria Mariska TUNJUNG,25,2073
2021-11-25,Indonesia Open 2021,Round 2,WS,Lalinrat CHAIWAN,21,2089,Sayaka TAKAHASHI,13,2237
2021-11-25,Indonesia Open 2021,Round 2,MD,Takuro HOKI / Yugo KOBAYASHI,7,2230,Pramudya KUSUMAWARDANA / Yeremia Erich Yoche Yacob RAMBITAN,28,1998
2021-11-25,Indonesia Open 2021,Round 2,WD,Mayu MATSUMOTO / Ayako SAKURAMOTO,82,1857,Rin IWANAGA / Kie NAKANISHI,36,1835
2021-11-25,Indonesia Open 2021,Round 2,XD,Yuta WATANABE / Arisa IGAKI,4,2369,CHANG Tak Ching / NG Wing Yung,29,1738
2021-11-25,Indonesia Open 2021,Round 2,MD,ONG Yew Sin / TEO Ee Yi,12,2049,Aaron CHIA / SOH Wooi Yik,6,2137
2021-11-25,Indonesia Open 2021,Round 2,WD,Febriana Dwipuji KUSUMA / Amallia Cahaya PRATIWI,78,1627,Pearly TAN / THINAAH Muralitharan,18,1861
2021-11-25,Indonesia Open 2021,Round 2,WD,Greysia POLII / Apriyani RAHAYU,6,2209,Fitriani FITRIANI / Yulia Yosephine SUSANTO,82,1540
2021-11-25,Indonesia Open 2021,Round 2,WD,KIM So Yeong / KONG Hee Yong,4,2133,JEONG Na Eun / KIM Hye Jeong,87,1887
2021-11-25,Indonesia Open 2021,Round 2,WS,Ratchanok INTANON,8,2240,PAI Yu Po,39,1854
2021-11-25,Indonesia Open 2021,Round 2,WD,Jongkolphan KITITHARAKUL / Rawinda PRAJONGJAI,8,1912,Vivian HO / LIM Chiew Sien,110,1671
